shape,train_size,pca_features,svctrain,svctest,knntrain,knntest,ldatrain,ldatest,qdatrain,qdatest,logistictrain,logistictest,gaussiantrain,gaussiantest,mlptrain,mlptest,rftrain,rftest,avgtrain,avgtest,prodtrain,prodtest
15,10,30,1.0,0.819292929293,1.0,0.767474747475,1.0,0.824141414141,1.0,0.26202020202,0.99,0.774242424242,1.0,0.695858585859,0.96,0.756868686869,1.0,0.544646464646,1.0,0.8184848484848485,1.0,0.30808080808080807
15,10,50,0.99,0.826262626263,1.0,0.77,1.0,0.797171717172,1.0,0.280404040404,1.0,0.815757575758,1.0,0.746060606061,0.98,0.797171717172,1.0,0.516161616162,1.0,0.824949494949495,1.0,0.3075757575757576
15,10,70,1.0,0.851414141414,1.0,0.789797979798,1.0,0.715858585859,1.0,0.254949494949,1.0,0.820101010101,1.0,0.70898989899,0.98,0.754141414141,1.0,0.43303030303,1.0,0.8308080808080808,1.0,0.3028282828282828
15,500,30,0.9946,0.981,1.0,0.9768,0.9188,0.9086,0.9818,0.9688,0.9366,0.9264,0.8986,0.8932,0.9926,0.965,0.999,0.9112,0.9914,0.9734,0.9918,0.9706
15,500,50,0.9944,0.9768,1.0,0.9722,0.9214,0.912,0.989,0.9688,0.9436,0.9326,0.903,0.8946,0.9956,0.9614,0.9994,0.8926,0.9914,0.9688,0.9946,0.9676
15,500,70,0.9896,0.9776,1.0,0.9722,0.9254,0.913,0.9914,0.9672,0.9506,0.9316,0.9084,0.9006,0.998,0.9638,0.9992,0.8762,0.99,0.9732,0.993,0.9706
15,800,30,0.99525,0.984,1.0,0.981,0.910625,0.917,0.9795,0.9745,0.9355,0.9305,0.894875,0.89,0.993375,0.9715,0.999375,0.9325,0.98825,0.9755,0.992,0.974
15,800,50,0.99325,0.9805,1.0,0.978,0.92025,0.907,0.984875,0.965,0.944,0.9295,0.90875,0.888,0.99775,0.9705,0.99925,0.916,0.991625,0.975,0.992375,0.9725
15,800,70,0.9905,0.9815,1.0,0.9815,0.92175,0.9135,0.98625,0.965,0.94725,0.935,0.911,0.8915,0.99725,0.9655,0.999,0.9025,0.98925,0.9755,0.991375,0.975
30,10,30,1.0,0.75797979798,1.0,0.805858585859,0.98,0.827272727273,1.0,0.271111111111,0.99,0.801414141414,0.99,0.77202020202,0.99,0.783939393939,1.0,0.540606060606,1.0,0.8336363636363636,0.6599999999999999,0.3055555555555556
30,10,50,1.0,0.799494949495,1.0,0.758181818182,1.0,0.794646464646,1.0,0.280909090909,1.0,0.775757575758,1.0,0.762525252525,1.0,0.784848484848,0.99,0.569090909091,1.0,0.8142424242424242,0.89,0.31333333333333335
30,10,70,1.0,0.814848484848,1.0,0.753535353535,1.0,0.723131313131,1.0,0.263636363636,1.0,0.776868686869,1.0,0.752626262626,1.0,0.782525252525,1.0,0.446363636364,1.0,0.8063636363636364,0.73,0.27515151515151515
30,500,30,0.9998,0.9774,1.0,0.9794,0.9136,0.9136,0.9812,0.973,0.935,0.9312,0.9022,0.899,0.9954,0.9622,0.999,0.9232,0.996,0.9766,0.9962,0.9772
30,500,50,0.9998,0.9846,1.0,0.9758,0.9206,0.9202,0.9896,0.9728,0.9446,0.9386,0.916,0.911,0.9988,0.9656,0.9992,0.899,0.9972,0.9772,0.997,0.9762
30,500,70,0.9998,0.982,1.0,0.9748,0.9284,0.921,0.9926,0.9692,0.9548,0.9364,0.9134,0.906,0.9996,0.9602,0.9988,0.8822,0.9968,0.9748,0.997,0.972
30,800,30,0.9995,0.981,1.0,0.982,0.9165,0.9155,0.9815,0.9765,0.938125,0.926,0.90525,0.9035,0.995375,0.9615,0.999,0.9285,0.99575,0.9765,0.995,0.977
30,800,50,0.999625,0.9865,1.0,0.979,0.922875,0.9185,0.984625,0.9715,0.9435,0.9375,0.91425,0.9045,0.99875,0.9705,0.99925,0.9055,0.99575,0.979,0.995,0.9805
30,800,70,0.9995,0.9895,1.0,0.9795,0.9235,0.9255,0.986875,0.9725,0.94925,0.936,0.915375,0.899,0.999375,0.97,0.999125,0.9035,0.996375,0.98,0.995375,0.982
