shape,train_size,pca_features,svctrain,svctest,knntrain,knntest,ldatrain,ldatest,qdatrain,qdatest,logistictrain,logistictest,gaussiantrain,gaussiantest,mlptrain,mlptest,rftrain,rftest
15,10,NA,0.4,0.248787878788,0.89,0.294141414141,0.72,0.270101010101,0.64,0.14595959596,0.48,0.289898989899,0.52,0.263636363636,0.1,0.1,0.89,0.275151515152
15,100,NA,0.256,0.242777777778,0.723,0.368888888889,0.448,0.38,0.267,0.213888888889,0.388,0.364777777778,0.329,0.317888888889,0.353,0.336777777778,0.723,0.388333333333
15,500,NA,0.3178,0.3178,0.6048,0.409,0.4018,0.393,0.2414,0.2392,0.3886,0.3884,0.303,0.3106,0.4582,0.45,0.6394,0.4534
15,800,NA,0.346125,0.35,0.568125,0.4115,0.403125,0.408,0.251375,0.2425,0.394,0.3965,0.301375,0.304,0.467375,0.46,0.61875,0.462
20,10,NA,0.36,0.296666666667,0.96,0.291515151515,0.87,0.238888888889,0.88,0.16595959596,0.43,0.316363636364,0.54,0.255252525253,0.1,0.1,0.95,0.275050505051
30,10,NA,0.25,0.210101010101,1.0,0.301414141414,1.0,0.14595959596,1.0,0.12898989899,0.35,0.247474747475,0.53,0.310808080808,0.1,0.1,0.99,0.309292929293
20,500,NA,0.3338,0.3346,0.7912,0.3918,0.4296,0.4196,0.225,0.2244,0.4148,0.413,0.3418,0.3392,0.466,0.4662,0.7922,0.427
30,100,NA,0.265,0.267888888889,0.995,0.385555555556,0.546,0.383777777778,0.1,0.1,0.327,0.326555555556,0.314,0.311111111111,0.272,0.255888888889,0.984,0.404777777778
20,10,NA,0.28,0.308787878788,0.97,0.263434343434,0.86,0.220202020202,0.88,0.135050505051,0.35,0.299090909091,0.46,0.28101010101,0.1,0.1,0.96,0.263333333333
30,500,NA,0.2494,0.2454,0.9816,0.4282,0.4638,0.4358,0.2012,0.203,0.3732,0.3726,0.2876,0.2892,0.476,0.4686,0.963,0.4562
20,500,NA,0.2606,0.2632,0.7868,0.4092,0.4268,0.4204,0.2036,0.2084,0.3922,0.3908,0.341,0.3448,0.377,0.385,0.7852,0.4286
30,800,NA,0.253875,0.265,0.973625,0.4395,0.45425,0.445,0.21775,0.212,0.396125,0.394,0.242375,0.252,0.484,0.469,0.95875,0.462
