shape,train_size,pca_features,svctrain,svctest,knntrain,knntest,ldatrain,ldatest,qdatrain,qdatest,logistictrain,logistictest,gaussiantrain,gaussiantest,mlptrain,mlptest,rftrain,rftest
15,10,30,1.0,0.843131313131,1.0,0.788787878788,0.98,0.820909090909,1.0,0.26898989899,0.99,0.796262626263,0.98,0.755050505051,0.98,0.724545454545,0.99,0.502222222222
15,10,50,1.0,0.814141414141,1.0,0.769191919192,1.0,0.800909090909,1.0,0.324747474747,1.0,0.799494949495,1.0,0.753232323232,0.99,0.746464646465,0.99,0.493737373737
15,10,70,1.0,0.838484848485,1.0,0.785151515152,1.0,0.778282828283,1.0,0.259393939394,1.0,0.787373737374,1.0,0.683131313131,1.0,0.767777777778,1.0,0.422727272727
15,100,30,0.996,0.960555555556,1.0,0.944111111111,0.922,0.902666666667,0.996,0.942333333333,0.945,0.911333333333,0.913,0.887444444444,0.986,0.927,0.999,0.850555555556
15,100,50,0.993,0.961111111111,1.0,0.946444444444,0.933,0.908222222222,1.0,0.938111111111,0.965,0.915777777778,0.927,0.893222222222,0.996,0.931444444444,0.999,0.814555555556
15,100,70,0.987,0.950555555556,1.0,0.94,0.937,0.910222222222,1.0,0.876555555556,0.973,0.909666666667,0.93,0.888222222222,0.993,0.927333333333,1.0,0.786444444444
15,500,30,0.995,0.9812,1.0,0.9778,0.9116,0.91,0.9838,0.9728,0.9322,0.9298,0.899,0.891,0.995,0.9652,0.9988,0.92
15,500,50,0.9932,0.977,1.0,0.9738,0.9198,0.917,0.9894,0.9694,0.9472,0.9318,0.9118,0.9038,0.9968,0.9668,0.998,0.9012
15,500,70,0.9918,0.9752,1.0,0.972,0.9244,0.914,0.9922,0.9654,0.9478,0.9358,0.9088,0.901,0.9966,0.9626,0.9994,0.8872
15,800,30,0.99525,0.981,1.0,0.9785,0.913625,0.913,0.978875,0.972,0.936875,0.9255,0.896,0.887,0.99275,0.9675,0.999125,0.93
15,800,50,0.9935,0.983,1.0,0.9815,0.921,0.9045,0.98425,0.969,0.941375,0.9265,0.90675,0.896,0.996125,0.968,0.9995,0.9115
15,800,70,0.990125,0.9815,1.0,0.9785,0.921375,0.915,0.98775,0.9695,0.945625,0.9365,0.912625,0.905,0.997625,0.9685,0.999125,0.892
30,10,30,1.0,0.736363636364,1.0,0.783434343434,1.0,0.840909090909,1.0,0.24696969697,1.0,0.808383838384,1.0,0.758484848485,1.0,0.784444444444,1.0,0.539797979798
