n_components,Test score,Train score
2,0.456,0.500666666667
3,0.575,0.631111111111
4,0.72,0.817888888889
5,0.794,0.909111111111
6,0.862,0.966333333333
7,0.898,0.986777777778
8,0.918,0.993333333333
9,0.934,0.995111111111
10,0.942,0.997222222222
11,0.943,0.997333333333
12,0.953,0.998444444444
13,0.956,0.998777777778
14,0.956,0.999
15,0.959,0.999333333333
16,0.963,0.999222222222
17,0.969,0.999333333333
18,0.968,0.999222222222
19,0.967,0.999333333333
20,0.968,0.999333333333
21,0.966,0.999333333333
22,0.966,0.999444444444
23,0.966,0.999666666667
24,0.967,0.999666666667
25,0.967,0.999666666667
26,0.969,0.999555555556
27,0.97,0.999555555556
28,0.972,0.999666666667
29,0.971,0.999666666667
30,0.972,0.999777777778
31,0.97,0.999777777778
32,0.972,0.999777777778
33,0.973,0.999777777778
34,0.972,0.999777777778
35,0.973,0.999666666667
36,0.974,0.999555555556
37,0.974,0.999555555556
38,0.975,0.999555555556
39,0.976,0.999444444444
40,0.975,0.999555555556
41,0.975,0.999444444444
42,0.976,0.999444444444
43,0.978,0.999444444444
44,0.977,0.999444444444
45,0.977,0.999555555556
46,0.977,0.999555555556
47,0.977,0.999444444444
48,0.977,0.999444444444
49,0.977,0.999555555556
50,0.977,0.999555555556
