n_components,Test score,Train score
2,0.385,0.420555555556
3,0.457,0.503222222222
4,0.49,0.553888888889
5,0.587,0.649
6,0.664,0.723111111111
7,0.728,0.789222222222
8,0.757,0.803555555556
9,0.774,0.815
10,0.789,0.828888888889
11,0.801,0.836
12,0.818,0.843555555556
13,0.815,0.851222222222
14,0.816,0.858111111111
15,0.82,0.860666666667
16,0.826,0.867222222222
17,0.837,0.870888888889
18,0.834,0.874
19,0.837,0.873444444444
20,0.842,0.875888888889
21,0.848,0.878222222222
22,0.853,0.881777777778
23,0.847,0.881222222222
24,0.849,0.883888888889
25,0.858,0.886666666667
26,0.854,0.885888888889
27,0.852,0.886222222222
28,0.855,0.887555555556
29,0.857,0.888555555556
30,0.855,0.890222222222
31,0.853,0.890555555556
32,0.857,0.889111111111
33,0.858,0.892333333333
34,0.857,0.891555555556
35,0.854,0.892444444444
36,0.856,0.889111111111
37,0.864,0.892666666667
38,0.867,0.891777777778
39,0.865,0.891333333333
40,0.868,0.893333333333
41,0.864,0.894222222222
42,0.868,0.895666666667
43,0.868,0.894333333333
44,0.871,0.895333333333
45,0.88,0.895222222222
46,0.872,0.896333333333
47,0.879,0.896
48,0.872,0.899111111111
49,0.881,0.897444444444
50,0.874,0.898444444444
