n_components,Test score,Train score
2,0.345,1.0
3,0.49,1.0
4,0.575,1.0
5,0.74,1.0
6,0.822,1.0
7,0.876,1.0
8,0.903,1.0
9,0.903,1.0
10,0.921,1.0
11,0.931,1.0
12,0.949,1.0
13,0.949,1.0
14,0.949,1.0
15,0.949,1.0
16,0.956,1.0
17,0.957,1.0
18,0.956,1.0
19,0.958,1.0
20,0.961,1.0
21,0.964,1.0
22,0.959,1.0
23,0.964,1.0
24,0.967,1.0
25,0.969,1.0
26,0.965,1.0
27,0.962,1.0
28,0.962,1.0
29,0.96,1.0
30,0.96,1.0
31,0.956,1.0
32,0.958,1.0
33,0.957,1.0
34,0.96,1.0
35,0.959,1.0
36,0.96,1.0
37,0.958,1.0
38,0.961,1.0
39,0.96,1.0
40,0.959,1.0
41,0.962,1.0
42,0.964,1.0
43,0.963,1.0
44,0.961,1.0
45,0.964,1.0
46,0.964,1.0
47,0.966,1.0
48,0.964,1.0
49,0.964,1.0
50,0.964,1.0
