n_components,Test score,Train score
2,0.376,0.399333333333
3,0.444,0.477777777778
4,0.478,0.522333333333
5,0.569,0.625333333333
6,0.65,0.715444444444
7,0.745,0.789222222222
8,0.75,0.805777777778
9,0.774,0.821111111111
10,0.783,0.833555555556
11,0.801,0.845777777778
12,0.813,0.861111111111
13,0.834,0.870888888889
14,0.854,0.879666666667
15,0.854,0.881777777778
16,0.853,0.885
17,0.852,0.886222222222
18,0.849,0.889222222222
19,0.853,0.891111111111
20,0.861,0.894
21,0.862,0.895555555556
22,0.868,0.894888888889
23,0.865,0.896666666667
24,0.864,0.897111111111
25,0.865,0.901777777778
26,0.867,0.903222222222
27,0.871,0.900777777778
28,0.874,0.902444444444
29,0.877,0.902
30,0.875,0.902444444444
31,0.878,0.901888888889
32,0.875,0.902222222222
33,0.878,0.903777777778
34,0.887,0.903888888889
35,0.885,0.905333333333
36,0.887,0.905555555556
37,0.886,0.904222222222
38,0.888,0.903222222222
39,0.89,0.905444444444
40,0.889,0.905333333333
41,0.89,0.906777777778
42,0.888,0.905888888889
43,0.884,0.906444444444
44,0.883,0.906111111111
45,0.885,0.906222222222
46,0.887,0.908
47,0.885,0.909
48,0.885,0.908222222222
49,0.89,0.908
50,0.886,0.908444444444
