n_components,Test score,Train score
2,0.364,0.389111111111
3,0.441,0.472888888889
4,0.458,0.511111111111
5,0.57,0.616333333333
6,0.639,0.703555555556
7,0.746,0.789444444444
8,0.776,0.812222222222
9,0.796,0.828333333333
10,0.811,0.849333333333
11,0.823,0.862111111111
12,0.838,0.878555555556
13,0.857,0.888111111111
14,0.868,0.896111111111
15,0.879,0.899888888889
16,0.883,0.902
17,0.883,0.902888888889
18,0.885,0.908111111111
19,0.885,0.908555555556
20,0.888,0.911555555556
21,0.891,0.912111111111
22,0.888,0.915888888889
23,0.89,0.917444444444
24,0.894,0.918111111111
25,0.892,0.920222222222
26,0.896,0.921555555556
27,0.902,0.921777777778
28,0.903,0.924666666667
29,0.909,0.924666666667
30,0.909,0.926222222222
31,0.911,0.927
32,0.91,0.926555555556
33,0.913,0.927555555556
34,0.915,0.928666666667
35,0.916,0.931222222222
36,0.914,0.930555555556
37,0.915,0.931777777778
38,0.914,0.931333333333
39,0.921,0.932222222222
40,0.918,0.933333333333
41,0.918,0.934
42,0.917,0.934888888889
43,0.92,0.934888888889
44,0.922,0.935666666667
45,0.921,0.936888888889
46,0.923,0.936777777778
47,0.923,0.937777777778
48,0.924,0.937444444444
49,0.92,0.938
50,0.917,0.938444444444
