n_components,Test score,Train score
2,0.467,0.504333333333
3,0.569,0.62
4,0.707,0.786
5,0.805,0.868333333333
6,0.866,0.930666666667
7,0.886,0.965111111111
8,0.881,0.983777777778
9,0.897,0.985777777778
10,0.895,0.995111111111
11,0.877,0.997666666667
12,0.897,0.998333333333
13,0.891,1.0
14,0.92,0.999888888889
15,0.895,1.0
16,0.901,0.999666666667
17,0.911,1.0
18,0.897,0.999888888889
19,0.905,1.0
20,0.89,1.0
21,0.896,0.999888888889
22,0.902,1.0
23,0.895,1.0
24,0.928,1.0
25,0.906,1.0
26,0.913,1.0
27,0.904,1.0
28,0.909,1.0
29,0.907,1.0
30,0.916,1.0
31,0.892,0.999888888889
32,0.92,0.999888888889
33,0.908,1.0
34,0.917,1.0
35,0.913,1.0
36,0.917,1.0
37,0.922,1.0
38,0.916,1.0
39,0.924,1.0
40,0.924,0.999777777778
41,0.926,1.0
42,0.927,1.0
43,0.921,0.999888888889
44,0.919,1.0
45,0.907,0.999777777778
46,0.911,1.0
47,0.917,0.999888888889
48,0.916,0.999888888889
49,0.911,0.999777777778
50,0.922,1.0
