n_components,Test score,Train score
2,0.402,0.428888888889
3,0.517,0.539777777778
4,0.565,0.614888888889
5,0.696,0.736666666667
6,0.786,0.816444444444
7,0.849,0.878888888889
8,0.859,0.895333333333
9,0.877,0.907555555556
10,0.891,0.920111111111
11,0.906,0.926888888889
12,0.927,0.938888888889
13,0.933,0.945666666667
14,0.936,0.952
15,0.941,0.954222222222
16,0.948,0.960111111111
17,0.952,0.964111111111
18,0.953,0.965444444444
19,0.954,0.967
20,0.953,0.968888888889
21,0.954,0.969555555556
22,0.954,0.970777777778
23,0.955,0.971444444444
24,0.953,0.972333333333
25,0.956,0.972444444444
26,0.958,0.973222222222
27,0.959,0.973888888889
28,0.958,0.975111111111
29,0.962,0.975444444444
30,0.96,0.975888888889
31,0.959,0.976666666667
32,0.96,0.976777777778
33,0.963,0.977666666667
34,0.963,0.976555555556
35,0.964,0.978
36,0.965,0.978
37,0.962,0.978555555556
38,0.962,0.979222222222
39,0.96,0.979777777778
40,0.96,0.979444444444
41,0.96,0.979666666667
42,0.957,0.980222222222
43,0.959,0.981
44,0.961,0.980777777778
45,0.957,0.981111111111
46,0.957,0.981333333333
47,0.961,0.982222222222
48,0.96,0.982111111111
49,0.96,0.982777777778
50,0.963,0.983444444444
