n_components,Test score,Train score
2,0.354,0.973777777778
3,0.485,0.980666666667
4,0.592,0.983666666667
5,0.708,0.990888888889
6,0.799,0.992555555556
7,0.836,0.994777777778
8,0.862,0.997222222222
9,0.86,0.996222222222
10,0.876,0.997666666667
11,0.876,0.997111111111
12,0.888,0.998222222222
13,0.892,0.997666666667
14,0.883,0.998777777778
15,0.889,0.998777777778
16,0.897,0.998777777778
17,0.894,0.998666666667
18,0.896,0.998888888889
19,0.891,0.998666666667
20,0.905,0.998333333333
21,0.872,0.999111111111
22,0.9,0.998555555556
23,0.896,0.998777777778
24,0.904,0.998555555556
25,0.89,0.998777777778
26,0.892,0.999444444444
27,0.886,0.999
28,0.899,0.999111111111
29,0.901,0.998888888889
30,0.89,0.999555555556
31,0.877,0.998888888889
32,0.886,0.998333333333
33,0.886,0.999
34,0.884,0.999111111111
35,0.883,0.999555555556
36,0.883,0.999222222222
37,0.883,0.998666666667
38,0.889,0.999111111111
39,0.883,0.999333333333
40,0.899,0.998777777778
41,0.885,0.998777777778
42,0.88,0.998555555556
43,0.874,0.998555555556
44,0.897,0.998666666667
45,0.873,0.999111111111
46,0.865,0.998333333333
47,0.877,0.998888888889
48,0.872,0.999555555556
49,0.881,0.999444444444
50,0.874,0.999222222222
