n_components,Test score,Train score
2,0.444,0.470111111111
3,0.567,0.602444444444
4,0.628,0.694777777778
5,0.763,0.822
6,0.844,0.895555555556
7,0.893,0.941222222222
8,0.911,0.959
9,0.91,0.967222222222
10,0.929,0.975444444444
11,0.934,0.976666666667
12,0.955,0.982777777778
13,0.958,0.985222222222
14,0.962,0.987111111111
15,0.961,0.988555555556
16,0.964,0.989555555556
17,0.965,0.990888888889
18,0.965,0.990888888889
19,0.967,0.991222222222
20,0.968,0.991222222222
21,0.969,0.991
22,0.967,0.991444444444
23,0.968,0.991666666667
24,0.967,0.992666666667
25,0.968,0.992333333333
26,0.969,0.992222222222
27,0.969,0.992444444444
28,0.966,0.993
29,0.971,0.992777777778
30,0.969,0.993111111111
31,0.971,0.993666666667
32,0.97,0.993333333333
33,0.973,0.993888888889
34,0.971,0.993333333333
35,0.973,0.993333333333
36,0.973,0.993111111111
37,0.973,0.993222222222
38,0.973,0.992777777778
39,0.972,0.993
40,0.971,0.992666666667
41,0.97,0.992666666667
42,0.971,0.992333333333
43,0.97,0.992555555556
44,0.969,0.992333333333
45,0.971,0.992222222222
46,0.971,0.992222222222
47,0.97,0.992222222222
48,0.97,0.992222222222
49,0.97,0.991666666667
